"Date","Renewable.Energy"
1988-06-01,453.891
1988-07-01,442.602
1988-08-01,437.214
1988-09-01,426.312
1988-10-01,422.602
1988-11-01,448.903
1988-12-01,472.132
1989-01-01,509.147
1989-02-01,461.435
1989-03-01,532.715
1989-04-01,530.097
1989-05-01,562.701
1989-06-01,546.136
1989-07-01,525.098
1989-08-01,513.154
1989-09-01,487.949
1989-10-01,511.06
1989-11-01,521.324
1989-12-01,533.841
1990-01-01,511.272
1990-02-01,508.361
1990-03-01,567.935
1990-04-01,530.43
1990-05-01,525.673
1990-06-01,503.363
1990-07-01,499.495
1990-08-01,497.455
1990-09-01,447.349
1990-10-01,460.199
1990-11-01,459.565
1990-12-01,528.927
1991-01-01,569.477
1991-02-01,465.116
1991-03-01,519.109
1991-04-01,492.912
1991-05-01,540.589
1991-06-01,513.638
1991-07-01,499.535
1991-08-01,512.229
1991-09-01,491.722
1991-10-01,467.135
1991-11-01,467.743
1991-12-01,528.581
1992-01-01,535.605
1992-02-01,449.194
1992-03-01,482.783
1992-04-01,445.954
1992-05-01,455.238
1992-06-01,497.881
1992-07-01,486.977
1992-08-01,491.44
1992-09-01,458.262
1992-10-01,472.679
1992-11-01,498.631
1992-12-01,545.912
1993-01-01,564.643
1993-02-01,477.337
1993-03-01,543.313
1993-04-01,527.476
1993-05-01,537.102
1993-06-01,506.688
1993-07-01,491.684
1993-08-01,502.29
1993-09-01,461.7
1993-10-01,468.76
1993-11-01,482.149
1993-12-01,518.766
1994-01-01,546.055
1994-02-01,474.597
1994-03-01,530.492
1994-04-01,515.824
1994-05-01,494.547
1994-06-01,497.431
1994-07-01,538.297
1994-08-01,484.333
1994-09-01,433.624
1994-10-01,476.301
1994-11-01,482.931
1994-12-01,512.711
1995-01-01,516.505
1995-02-01,478.622
1995-03-01,550.407
1995-04-01,536.526
1995-05-01,533.621
1995-06-01,560.146
1995-07-01,601.277
1995-08-01,582.282
1995-09-01,499.493
1995-10-01,558.496
1995-11-01,554.287
1995-12-01,585.644
1996-01-01,606.652
1996-02-01,571.304
1996-03-01,627.925
1996-04-01,556.068
1996-05-01,594.906
1996-06-01,607.617
1996-07-01,610.096
1996-08-01,594.878
1996-09-01,513.259
1996-10-01,568.744
1996-11-01,561.307
1996-12-01,598.134
1997-01-01,629.798
1997-02-01,563.285
1997-03-01,628.987
1997-04-01,603.776
1997-05-01,642.247
1997-06-01,607.803
1997-07-01,611.214
1997-08-01,566.984
1997-09-01,513.212
1997-10-01,581.272
1997-11-01,526.466
1997-12-01,541.767
1998-01-01,591.525
1998-02-01,534.593
1998-03-01,585.345
1998-04-01,550.085
1998-05-01,606.593
1998-06-01,538.492
1998-07-01,565.999
