"Date","Amazon.River"
1957-07-01,14153
1957-08-01,9933
1957-09-01,7524
1957-10-01,8838
1957-11-01,12826
1957-12-01,19643
1958-01-01,27819
1958-02-01,34520
1958-03-01,36974
1958-04-01,37563
1958-05-01,29090
1958-06-01,19585
1958-07-01,12014
1958-08-01,7492
1958-09-01,4739
1958-10-01,6830
1958-11-01,11575
1958-12-01,19180
1959-01-01,28831
1959-02-01,36243
1959-03-01,40681
1959-04-01,39951
1959-05-01,31823
1959-06-01,21448
1959-07-01,13267
1959-08-01,7345
1959-09-01,5015
1959-10-01,5835
1959-11-01,10018
1959-12-01,16134
1960-01-01,24059
1960-02-01,31462
1960-03-01,36039
1960-04-01,36199
1960-05-01,30721
1960-06-01,22291
1960-07-01,14126
1960-08-01,8336
1960-09-01,5798
1960-10-01,6960
1960-11-01,11317
1960-12-01,16598
1961-01-01,22248
1961-02-01,27048
1961-03-01,30134
1961-04-01,31566
1961-05-01,28917
1961-06-01,21973
1961-07-01,14466
1961-08-01,8276
1961-09-01,4896
1961-10-01,4889
1961-11-01,9696
1961-12-01,18011
1962-01-01,26609
1962-02-01,33559
1962-03-01,35322
1962-04-01,35336
1962-05-01,28385
1962-06-01,20073
1962-07-01,12394
1962-08-01,7377
1962-09-01,4722
1962-10-01,5685
1962-11-01,7664
1962-12-01,12712
1963-01-01,21256
1963-02-01,30272
1963-03-01,35326
1963-04-01,35538
1963-05-01,28718
1963-06-01,20138
1963-07-01,12969
1963-08-01,7349
1963-09-01,4233
1963-10-01,4462
1963-11-01,6476
1963-12-01,10311
1964-01-01,18721
1964-02-01,25838
1964-03-01,33635
1964-04-01,36124
1964-05-01,31489
1964-06-01,23253
1964-07-01,14673
1964-08-01,8644
1964-09-01,6338
1964-10-01,9719
1964-11-01,13994
1964-12-01,19129
1965-01-01,26944
1965-02-01,33119
1965-03-01,36041
1965-04-01,34905
1965-05-01,27776
1965-06-01,18639
1965-07-01,11589
1965-08-01,7374
1965-09-01,4788
1965-10-01,6242
1965-11-01,9670
1965-12-01,16071
1966-01-01,21755
1966-02-01,27194
1966-03-01,29859
1966-04-01,30730
1966-05-01,25719
1966-06-01,20287
1966-07-01,15300
1966-08-01,10374
1966-09-01,6662
1966-10-01,7419
1966-11-01,10199
1966-12-01,14194
1967-01-01,20130
1967-02-01,27009
1967-03-01,33240
1967-04-01,33930
1967-05-01,21763
1967-06-01,15620
1967-07-01,9363
1967-08-01,6777
1967-09-01,4734
1967-10-01,4735
1967-11-01,8481
1967-12-01,11160
1968-01-01,15080
1968-02-01,28418
1968-03-01,36290
1968-04-01,30138
1968-05-01,18590
1968-06-01,11958
1968-07-01,8071
1968-08-01,5577
1968-09-01,6379
1968-10-01,6019
1968-11-01,8409
1968-12-01,13741
1969-01-01,25171
1969-02-01,27930
1969-03-01,28139
1969-04-01,28840
1969-05-01,20857
1969-06-01,16168
1969-07-01,9962
1969-08-01,6476
1969-09-01,5316
1969-10-01,11998
1969-11-01,7303
1969-12-01,14615
1970-01-01,18174
1970-02-01,24452
1970-03-01,32471
1970-04-01,32989
1970-05-01,27259
1970-06-01,19996
1970-07-01,11824
1970-08-01,7093
1970-09-01,5927
1970-10-01,5614
1970-11-01,7243
1970-12-01,10877
1971-01-01,20761
1971-02-01,32350
1971-03-01,36718
1971-04-01,31797
1971-05-01,22730
1971-06-01,15525
1971-07-01,11277
1971-08-01,6852
1971-09-01,5630
1971-10-01,7608
1971-11-01,10249
1971-12-01,16101
1972-01-01,21386
1972-02-01,30602
1972-03-01,37935
1972-04-01,38796
1972-05-01,27278
1972-06-01,19468
1972-07-01,10955
1972-08-01,9005
1972-09-01,10744
1972-10-01,11133
1972-11-01,10689
1972-12-01,21826
1973-01-01,26278
1973-02-01,36225
1973-03-01,41067
1973-04-01,39427
1973-05-01,32626
1973-06-01,24577
1973-07-01,15578
1973-08-01,10680
1973-09-01,8286
1973-10-01,8315
1973-11-01,14459
1973-12-01,23252
1974-01-01,33162
1974-02-01,39892
1974-03-01,47051
1974-04-01,40796
1974-05-01,32230
1974-06-01,23881
1974-07-01,15422
1974-08-01,9731
1974-09-01,6946
1974-10-01,7367
1974-11-01,11724
1974-12-01,15244
1975-01-01,23684
1975-02-01,34335
1975-03-01,40489
1975-04-01,39062
1975-05-01,29085
1975-06-01,21570
1975-07-01,15978
1975-08-01,8986
1975-09-01,6577
1975-10-01,8818
1975-11-01,9665
1975-12-01,18966
1976-01-01,29005
1976-02-01,38528
1976-03-01,43554
1976-04-01,40851
1976-05-01,31415
1976-06-01,21368
1976-07-01,12194
1976-08-01,6820
1976-09-01,5489
1976-10-01,5682
1976-11-01,9075
1976-12-01,13895
1977-01-01,26588
1977-02-01,31463
1977-03-01,43171
1977-04-01,39870
1977-05-01,33446
1977-06-01,22484
1977-07-01,14605
1977-08-01,8957
1977-09-01,6873
1977-10-01,8518
1977-11-01,13838
1977-12-01,20897
1978-01-01,29249
1978-02-01,35474
1978-03-01,43171
1978-04-01,38087
1978-05-01,29566
1978-06-01,20906
1978-07-01,14853
1978-08-01,7604
1978-09-01,4824
1978-10-01,5548
1978-11-01,9044
1978-12-01,22898
1979-01-01,32479
1979-02-01,39647
1979-03-01,42441
1979-04-01,45169
1979-05-01,37715
1979-06-01,24722
1979-07-01,13794
1979-08-01,7916
1979-09-01,6255
1979-10-01,6191
1979-11-01,7789
1979-12-01,12047
1980-01-01,22809
1980-02-01,28565
1980-03-01,37262
1980-04-01,38979
1980-05-01,30975
1980-06-01,25239
1980-07-01,15564
1980-08-01,9459
1980-09-01,8169
1980-10-01,8972
1980-11-01,9885
1980-12-01,13206
1981-01-01,20010
1981-02-01,31257
1981-03-01,37999
1981-04-01,38152
1981-05-01,31616
1981-06-01,25723
1981-07-01,13826
1981-08-01,7316
1981-09-01,5601
1981-10-01,7750
1981-11-01,13377
1981-12-01,20579
1982-01-01,32712
1982-02-01,40800
1982-03-01,46295
1982-04-01,51421
1982-05-01,43113
1982-06-01,30562
1982-07-01,21329
1982-08-01,12158
1982-09-01,7625
1982-10-01,12805
1982-11-01,18900
1982-12-01,23389
1983-01-01,26812
1983-02-01,32856
1983-03-01,37597
1983-04-01,34910
1983-05-01,32515
1983-06-01,25677
1983-07-01,22032
1983-08-01,13931
1983-09-01,7446
1983-10-01,6419
1983-11-01,9145
1983-12-01,14213
1984-01-01,27300
1984-02-01,36965
1984-03-01,44965
1984-04-01,51491
1984-05-01,44278
1984-06-01,29863
1984-07-01,18606
1984-08-01,9694
1984-09-01,6814
1984-10-01,6768
1984-11-01,16296
1984-12-01,22368
1985-01-01,31287
1985-02-01,36748
1985-03-01,38263
1985-04-01,38527
1985-05-01,37571
1985-06-01,27445
1985-07-01,17073
1985-08-01,12391
1985-09-01,8698
1985-10-01,9680
1985-11-01,13472
1985-12-01,18667
1986-01-01,28717
1986-02-01,39063
1986-03-01,46290
1986-04-01,48801
1986-05-01,38759
1986-06-01,30291
1986-07-01,20225
1986-08-01,12741
1986-09-01,10296
1986-10-01,11475
1986-11-01,10106
1986-12-01,18999
1987-01-01,28688
1987-02-01,34544
1987-03-01,31841
1987-04-01,28282
1987-05-01,26790
1987-06-01,16708
1987-07-01,10363
1987-08-01,7060
1987-09-01,5021
1987-10-01,5886
1987-11-01,11445
1987-12-01,21918
1988-01-01,27452
1988-02-01,35011
1988-03-01,38224
1988-04-01,43966
1988-05-01,35951
1988-06-01,25578
1988-07-01,15666
1988-08-01,7800
1988-09-01,5099
1988-10-01,5286
1988-11-01,6814
1988-12-01,11610
1989-01-01,24624
1989-02-01,33323
1989-03-01,38263
1989-04-01,37268
1989-05-01,30421
1989-06-01,20482
1989-07-01,13750
1989-08-01,7959
1989-09-01,7199
1989-10-01,6587
1989-11-01,8288
1989-12-01,12492
1990-01-01,24059
1990-02-01,32432
1990-03-01,34286
1990-04-01,30163
1990-05-01,27195
1990-06-01,22063
1990-07-01,15071
1990-08-01,8274
1990-09-01,6415
1990-10-01,7520
1990-11-01,15925
1990-12-01,21000
1991-01-01,29913
1991-02-01,38284
1991-03-01,40816
1991-04-01,39010
1991-05-01,30959
1991-06-01,23967
1991-07-01,14883
1991-08-01,10000
1991-09-01,7260
1991-10-01,8133
1991-11-01,11759
1991-12-01,17045
1992-01-01,26701
1992-02-01,29626
1992-03-01,42361
1992-04-01,40993
1992-05-01,34892
1992-06-01,26081
1992-07-01,21507
1992-08-01,11338
1992-09-01,13251
1992-10-01,15944
1992-11-01,17341
1992-12-01,23871
1993-01-01,32740
1993-02-01,42492
1993-03-01,47012
1993-04-01,48609
1993-05-01,37189
1993-06-01,22831
1993-07-01,12966
1993-08-01,8966
1993-09-01,8058
1993-10-01,7889
1993-11-01,13613
1993-12-01,20880
1994-01-01,28432
1994-02-01,37379
1994-03-01,38944
1994-04-01,38846
1994-05-01,30900
1994-06-01,19005
1994-07-01,11421
1994-08-01,7740
1994-09-01,4891
1994-10-01,6608
1994-11-01,14589
1994-12-01,22490
1995-01-01,28582
1995-02-01,32105
1995-03-01,41036
1995-04-01,39567
1995-05-01,29673
1995-06-01,19196
1995-07-01,11655
1995-08-01,8682
1995-09-01,4863
1995-10-01,4556
1995-11-01,6626
1995-12-01,15517
1996-01-01,22208
1996-02-01,32477
1996-03-01,36116
1996-04-01,37984
1996-05-01,26529
1996-06-01,19065
1996-07-01,11821
1996-08-01,6961
1996-09-01,6142
1996-10-01,7478
1996-11-01,15382
1996-12-01,18848
1997-01-01,27490
1997-02-01,36688
1997-03-01,48533
1997-04-01,49259
1997-05-01,38188
1997-06-01,25810
1997-07-01,15955
1997-08-01,9421
1997-09-01,5773
1997-10-01,7436
1997-11-01,10427
1997-12-01,17903
1998-01-01,22790
1998-02-01,26254
1998-03-01,36921
1998-04-01,37570
1998-05-01,24645
1998-06-01,14575
1998-07-01,9072
1998-08-01,5724
1998-09-01,5164
1998-10-01,6650
1998-11-01,14681
1998-12-01,22407
1999-01-01,29358
1999-02-01,37206
1999-03-01,37758
1999-04-01,37559
1999-05-01,27296
1999-06-01,18259
1999-07-01,12603
1999-08-01,7065
1999-09-01,4963
1999-10-01,5539
1999-11-01,6891
1999-12-01,14809
